bbox_bounds,winsize
"(0, 0, 278, 278)",278
"(0, 193, 278, 471)",278
"(0, 387, 278, 665)",278
"(0, 581, 278, 859)",278
"(0, 775, 278, 1053)",278
"(0, 969, 278, 1247)",278
"(0, 1163, 278, 1441)",278
"(0, 1357, 278, 1635)",278
"(0, 1551, 278, 1829)",278
"(0, 1745, 278, 2023)",278
"(0, 1939, 278, 2217)",278
"(0, 2132, 278, 2410)",278
"(0, 2326, 278, 2604)",278
"(0, 2520, 278, 2798)",278
"(193, 0, 471, 278)",278
"(193, 193, 471, 471)",278
"(193, 387, 471, 665)",278
"(193, 581, 471, 859)",278
"(193, 775, 471, 1053)",278
"(193, 969, 471, 1247)",278
"(193, 1163, 471, 1441)",278
"(193, 1357, 471, 1635)",278
"(193, 1551, 471, 1829)",278
"(193, 1745, 471, 2023)",278
"(193, 1939, 471, 2217)",278
"(193, 2132, 471, 2410)",278
"(193, 2326, 471, 2604)",278
"(193, 2520, 471, 2798)",278
"(387, 0, 665, 278)",278
"(387, 193, 665, 471)",278
"(387, 387, 665, 665)",278
"(387, 581, 665, 859)",278
"(387, 775, 665, 1053)",278
"(387, 969, 665, 1247)",278
"(387, 1163, 665, 1441)",278
"(387, 1357, 665, 1635)",278
"(387, 1551, 665, 1829)",278
"(387, 1745, 665, 2023)",278
"(387, 1939, 665, 2217)",278
"(387, 2132, 665, 2410)",278
"(387, 2326, 665, 2604)",278
"(387, 2520, 665, 2798)",278
"(581, 0, 859, 278)",278
"(581, 193, 859, 471)",278
"(581, 387, 859, 665)",278
"(581, 581, 859, 859)",278
"(581, 775, 859, 1053)",278
"(581, 969, 859, 1247)",278
"(581, 1163, 859, 1441)",278
"(581, 1357, 859, 1635)",278
"(581, 1551, 859, 1829)",278
"(581, 1745, 859, 2023)",278
"(581, 1939, 859, 2217)",278
"(581, 2132, 859, 2410)",278
"(581, 2326, 859, 2604)",278
"(581, 2520, 859, 2798)",278
"(775, 0, 1053, 278)",278
"(775, 193, 1053, 471)",278
"(775, 387, 1053, 665)",278
"(775, 581, 1053, 859)",278
"(775, 775, 1053, 1053)",278
"(775, 969, 1053, 1247)",278
"(775, 1163, 1053, 1441)",278
"(775, 1357, 1053, 1635)",278
"(775, 1551, 1053, 1829)",278
"(775, 1745, 1053, 2023)",278
"(775, 1939, 1053, 2217)",278
"(775, 2132, 1053, 2410)",278
"(775, 2326, 1053, 2604)",278
"(775, 2520, 1053, 2798)",278
"(969, 0, 1247, 278)",278
"(969, 193, 1247, 471)",278
"(969, 387, 1247, 665)",278
"(969, 581, 1247, 859)",278
"(969, 775, 1247, 1053)",278
"(969, 969, 1247, 1247)",278
"(969, 1163, 1247, 1441)",278
"(969, 1357, 1247, 1635)",278
"(969, 1551, 1247, 1829)",278
"(969, 1745, 1247, 2023)",278
"(969, 1939, 1247, 2217)",278
"(969, 2132, 1247, 2410)",278
